Line Number,Year,Month,State,Labor Force,Employed,Unemployed,Unemployment Rate,Industry,Gender,Education Level,Date Inserted,InsertSource,Data Version,Access Permission,Update Frequency,Aggregation Level,Data Accuracy
0,2021,Jan,CA,100000,90000,10000,0.1,Tech,Male,Bachelor's degree,1/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
1,2021,Jan,CA,150000,135000,15000,0.1,Retail,Female,High school diploma,1/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
2,2021,Jan,NY,120000,108000,12000,0.1,Manufacturing,Male,Associate's degree,1/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
3,2021,Jan,NY,85000,76500,8500,0.1,Finance,Female,High school diploma,1/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
4,2021,Feb,NY,120000,110000,10000,0.083333333,Finance,Male,Master's degree,2/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
5,2021,Feb,NY,80000,72000,8000,0.1,Healthcare,Female,Associate's degree,2/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
6,2021,Feb,CA,180000,162000,18000,0.1,Energy,Male,Bachelor's degree,2/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
7,2021,Feb,CA,95000,85500,9500,0.1,Retail,Female,High school diploma,2/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
8,2021,Mar,CA,180000,162000,18000,0.1,Energy,Male,Bachelor's degree,3/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
9,2021,Mar,CA,90000,81000,9000,0.1,Education,Female,High school diploma,3/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
10,2021,Mar,NY,820000,739000,81000,0.098780488,Finance,Male,Master's degree,3/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
11,2021,Mar,NY,305000,275000,30000,0.098360656,Retail,Female,Associate's degree,3/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
12,2021,Apr,CA,130000,117000,13000,0.1,Hospitality,Male,Bachelor's degree,4/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
13,2021,Apr,CA,95000,85500,9500,0.1,Agriculture,Female,High school diploma,4/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
14,2021,Apr,NY,135000,121500,13500,0.1,Agriculture,Male,High school diploma,4/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
15,2021,Apr,NY,95000,85500,9500,0.1,Healthcare,Female,Bachelor's degree,4/1/2021,Web,V2.3,Public,Monthly,Country,Highly Random
