titulo,autor,duracion,enlace
Renegades: Lord of Excess,Rich McCormick,Duración: 14 h y 17 m,https://www.audible.com/es_US/pd/Renegades-Lord-of-Excess-Audiolibro/B0CXBWMHBB
Where the Pieces Lie,JD Kirk,Duración: 11 h y 37 m,https://www.audible.com/es_US/pd/Where-the-Pieces-Lie-Audiolibro/B0CYCV6WCR
LastRock,Phil Tucker,Duración: 26 h y 3 m,https://www.audible.com/es_US/pd/LastRock-Audiolibro/B0CZPH9W7D
Onyx Storm,Rebecca Yarros,Duración: 14 h y 15 m,https://www.audible.com/es_US/pd/Onyx-Storm-Audiolibro/B0CZFKLZ9M
Bondsfungi,Sarah Lin,Duración: 9 h y 37 m,https://www.audible.com/es_US/pd/Bondsfungi-Audiolibro/B0CZY9L58G
The Path of Ascension 5,C. Mantis,Duración: 27 h y 35 m,https://www.audible.com/es_US/pd/The-Path-of-Ascension-5-Audiolibro/B0CYHKDFDQ
Hard Knocks,Nathan Lowell,Duración: 11 h y 35 m,https://www.audible.com/es_US/pd/Hard-Knocks-Audiolibro/B0CZ24GHPV
"Heretical Fishing 2: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,Duración: 25 h y 4 m,https://www.audible.com/es_US/pd/Heretical-Fishing-2-A-Cozy-Guide-to-Annoying-the-Cults-Outsmarting-the-Fish-and-Alienating-Oneself-Audiolibro/B0CZPKBY63
When the Moon Hatched,Sarah A. Parker,Duración: 18 h,https://www.audible.com/es_US/pd/When-the-Moon-Hatched-Audiolibro/B0CZPYM8Q4
After Z Part 5,J.S. Patrick,Duración: 7 h y 51 m,https://www.audible.com/es_US/pd/After-Z-Part-5-Audiolibro/B0CZY83TZM
Wild Love,Elsie Silver,Duración: 11 h y 26 m,https://www.audible.com/es_US/pd/Wild-Love-Audiolibro/B0CXYLQNQ4
Wind and Truth,Brandon Sanderson,Duración: 55 h,https://www.audible.com/es_US/pd/Wind-and-Truth-Audiolibro/B0CQ3759C3
"Assassinated King, Volume 1",Michael Plymel,Duración: 10 h y 16 m,https://www.audible.com/es_US/pd/Assassinated-King-Volume-1-Audiolibro/B0CZVJNBF7
Valdemar,Mercedes Lackey,Duración: 16 h y 58 m,https://www.audible.com/es_US/pd/Valdemar-Audiolibro/B0CXQZ2TRR
