fecha,equipo_local,resultado,equipo_visita
13-08-2023,Albacete,1 - 1,Espanol
20-08-2023,Albacete,2 - 2,Amorebieta
27-08-2023,Leganes,2 - 0,Albacete
01-09-2023,Albacete,2 - 0,Valladolid
09-09-2023,Tenerife,2 - 0,Albacete
16-09-2023,Albacete,2 - 1,Burgos
23-09-2023,Santander,2 - 1,Albacete
30-09-2023,Albacete,3 - 1,FC Andorra
03-10-2023,Alcorcon,1 - 2,Albacete
06-10-2023,Albacete,0 - 2,Levante
13-10-2023,Oviedo,3 - 0,Albacete
22-10-2023,Albacete,1 - 3,Sp Gijon
29-10-2023,Huesca,0 - 0,Albacete
04-11-2023,Albacete,1 - 1,Elche
12-11-2023,Eibar,1 - 1,Albacete
19-11-2023,Cartagena,1 - 1,Albacete
25-11-2023,Albacete,1 - 0,Zaragoza
03-12-2023,Racing Ferrol,5 - 4,Albacete
08-12-2023,Albacete,2 - 0,Villarreal II
16-12-2023,Mirandes,2 - 0,Albacete
19-12-2023,Albacete,1 - 1,Eldense
13-01-2024,Levante,3 - 2,Albacete
20-01-2024,Albacete,0 - 1,Alcorcon
28-01-2024,Burgos,2 - 1,Albacete
03-02-2024,Albacete,1 - 1,Cartagena
12-02-2024,Valladolid,0 - 0,Albacete
18-02-2024,Albacete,2 - 0,Santander
25-02-2024,Amorebieta,1 - 1,Albacete
01-03-2024,Sp Gijon,2 - 1,Albacete
09-03-2024,Albacete,1 - 2,Oviedo
17-03-2024,Elche,3 - 2,Albacete
25-03-2024,Albacete,1 - 1,Racing Ferrol
30-03-2024,Albacete,1 - 1,Huesca
07-04-2024,Espanol,? - ?,Albacete
14-08-2023,Mirandes,4 - 0,Alcorcon
19-08-2023,Alcorcon,0 - 2,Leganes
26-08-2023,Valladolid,0 - 2,Alcorcon
01-09-2023,Alcorcon,1 - 1,Racing Ferrol
11-09-2023,Eldense,2 - 2,Alcorcon
16-09-2023,Alcorcon,0 - 2,Levante
23-09-2023,Alcorcon,0 - 2,Huesca
30-09-2023,Villarreal II,2 - 2,Alcorcon
03-10-2023,Alcorcon,1 - 2,Albacete
08-10-2023,Zaragoza,0 - 2,Alcorcon
15-10-2023,FC Andorra,2 - 0,Alcorcon
23-10-2023,Alcorcon,1 - 1,Cartagena
29-10-2023,Oviedo,2 - 0,Alcorcon
05-11-2023,Alcorcon,3 - 1,Santander
12-11-2023,Burgos,4 - 2,Alcorcon
18-11-2023,Alcorcon,0 - 0,Sp Gijon
26-11-2023,Espanol,2 - 0,Alcorcon
03-12-2023,Alcorcon,0 - 2,Elche
11-12-2023,Tenerife,1 - 0,Alcorcon
17-12-2023,Alcorcon,1 - 0,Eibar
21-12-2023,Amorebieta,1 - 2,Alcorcon
13-01-2024,Alcorcon,0 - 0,Mirandes
20-01-2024,Albacete,0 - 1,Alcorcon
27-01-2024,Alcorcon,0 - 0,Zaragoza
03-02-2024,Huesca,1 - 0,Alcorcon
11-02-2024,Alcorcon,1 - 0,FC Andorra
18-02-2024,Leganes,3 - 0,Alcorcon
25-02-2024,Alcorcon,1 - 1,Tenerife
04-03-2024,Elche,3 - 0,Alcorcon
10-03-2024,Alcorcon,1 - 1,Espanol
16-03-2024,Sp Gijon,1 - 0,Alcorcon
23-03-2024,Alcorcon,1 - 0,Oviedo
31-03-2024,Alcorcon,1 - 1,Amorebieta
